Timestep,Auditory_Position,Visual_Position,Causal_Structure,Prob_Common,Noise_Std,Signal_Noise_Std,Azimuth_Min,Azimuth_Max,Starting_Position
1,2.0755938454614467,0.46929601706643614,false,0.7,2.0,0.5,-30.0,30.0,shared
2,0.6951899001468302,-1.888558285669381,false,0.7,2.0,0.5,-30.0,30.0,shared
3,3.6025555083048886,4.671634876869157,true,0.7,2.0,0.5,-30.0,30.0,shared
4,3.304269658295059,3.735746600763804,true,0.7,2.0,0.5,-30.0,30.0,shared
5,-0.22392542393406378,-0.15000213276191135,false,0.7,2.0,0.5,-30.0,30.0,shared
6,7.289280782321169,6.441699739829536,true,0.7,2.0,0.5,-30.0,30.0,shared
7,7.687346814441238,6.593464545314442,true,0.7,2.0,0.5,-30.0,30.0,shared
8,0.10827131724808309,-1.4847565971004848,false,0.7,2.0,0.5,-30.0,30.0,shared
9,6.222129316697171,5.629712522583778,true,0.7,2.0,0.5,-30.0,30.0,shared
10,1.8344887102353704,1.824996026265748,false,0.7,2.0,0.5,-30.0,30.0,shared
11,2.970631991127488,2.3143709376988304,false,0.7,2.0,0.5,-30.0,30.0,shared
12,5.265324241176082,4.957094336722457,true,0.7,2.0,0.5,-30.0,30.0,shared
13,3.734602454337391,4.245743134597058,true,0.7,2.0,0.5,-30.0,30.0,shared
14,1.9901575003428809,2.471893083965169,true,0.7,2.0,0.5,-30.0,30.0,shared
15,5.311226806073701,5.337122140688511,true,0.7,2.0,0.5,-30.0,30.0,shared
16,7.536522000955714,-6.769124769377337,false,0.7,2.0,0.5,-30.0,30.0,shared
17,4.919971108300281,5.446782021650186,true,0.7,2.0,0.5,-30.0,30.0,shared
18,2.9123625793278705,-10.422826026414954,false,0.7,2.0,0.5,-30.0,30.0,shared
19,2.357997724023519,-11.444369027544573,false,0.7,2.0,0.5,-30.0,30.0,shared
20,12.30162300178932,13.164959997248276,true,0.7,2.0,0.5,-30.0,30.0,shared
21,13.437912461121428,12.482613995382133,true,0.7,2.0,0.5,-30.0,30.0,shared
22,13.149952857878791,13.382473151476695,true,0.7,2.0,0.5,-30.0,30.0,shared
23,14.757770056679602,13.84424523288915,true,0.7,2.0,0.5,-30.0,30.0,shared
24,14.306659872701404,14.439134676790014,true,0.7,2.0,0.5,-30.0,30.0,shared
25,14.654255752303818,14.718530473599298,true,0.7,2.0,0.5,-30.0,30.0,shared
26,13.249754282061517,12.538837396561677,true,0.7,2.0,0.5,-30.0,30.0,shared
27,9.096046733361963,9.300687120671181,true,0.7,2.0,0.5,-30.0,30.0,shared
28,16.9922563855338,-13.60944555751888,false,0.7,2.0,0.5,-30.0,30.0,shared
29,3.1909259109454826,3.5760898184289562,true,0.7,2.0,0.5,-30.0,30.0,shared
30,14.935284067033745,-11.901825474744738,false,0.7,2.0,0.5,-30.0,30.0,shared
31,16.973638413279346,-10.69129665312984,false,0.7,2.0,0.5,-30.0,30.0,shared
32,0.27985072269736,0.5823350206816302,true,0.7,2.0,0.5,-30.0,30.0,shared
33,16.340294128290175,-11.84293236104721,false,0.7,2.0,0.5,-30.0,30.0,shared
34,7.173157708818001,6.321246496474983,true,0.7,2.0,0.5,-30.0,30.0,shared
35,6.249264013661516,6.012019053681296,true,0.7,2.0,0.5,-30.0,30.0,shared
36,9.483026740644021,8.583948690548223,true,0.7,2.0,0.5,-30.0,30.0,shared
37,11.144463490668684,10.216663643361162,true,0.7,2.0,0.5,-30.0,30.0,shared
38,8.807285652698615,8.098748324854613,true,0.7,2.0,0.5,-30.0,30.0,shared
39,16.90104731248623,-15.137520798660951,false,0.7,2.0,0.5,-30.0,30.0,shared
40,19.99835732416333,-21.560248547261935,false,0.7,2.0,0.5,-30.0,30.0,shared
41,8.980983131882795,9.132030881382866,true,0.7,2.0,0.5,-30.0,30.0,shared
42,21.40389648073541,-20.765368870559172,false,0.7,2.0,0.5,-30.0,30.0,shared
43,17.825677627930094,-20.428564641964094,false,0.7,2.0,0.5,-30.0,30.0,shared
44,4.307962039875121,5.142602754821608,true,0.7,2.0,0.5,-30.0,30.0,shared
45,0.023862599020300246,0.44500526467908497,true,0.7,2.0,0.5,-30.0,30.0,shared
46,17.127224572190745,-15.957214996271961,false,0.7,2.0,0.5,-30.0,30.0,shared
47,14.88637898044094,-13.06273848882426,false,0.7,2.0,0.5,-30.0,30.0,shared
48,17.096686977574763,-11.508323615190957,false,0.7,2.0,0.5,-30.0,30.0,shared
