Timestep,Auditory_Position,Visual_Position,Causal_Structure,Boundary_Std,Common_Source_Position,Prob_Common,Noise_Std,Signal_Noise_Std,Initial_Bound_Std,Azimuth_Min,Azimuth_Max,Starting_Position
1,19.77937944553669,21.17058035343207,true,1.0,20.007256256297303,0.3,2.0,0.5,1.0,-30.0,30.0,shared
2,20.643611567204683,19.062363720682992,false,1.0,19.82210518352991,0.3,2.0,0.5,1.0,-30.0,30.0,shared
3,18.68826294787963,16.322282390838225,false,1.0,18.168647028560798,0.3,2.0,0.5,1.0,-30.0,30.0,shared
4,19.577949876662192,19.430542700419792,false,1.0,20.540285025645318,0.3,2.0,0.5,1.0,-30.0,30.0,shared
5,17.265008507474974,20.578635691980846,false,1.0,21.033269160840774,0.3,2.0,0.5,1.0,-30.0,30.0,shared
6,17.61011093777889,17.75221650795833,true,1.0,18.7360589459622,0.3,2.0,0.5,1.0,-30.0,30.0,shared
7,18.16181984209507,22.402191374054656,false,1.0,20.697149175011674,0.3,2.0,0.5,1.0,-30.0,30.0,shared
8,16.411092328417055,15.225186707626992,false,1.0,18.99584756604767,0.3,2.0,0.5,1.0,-30.0,30.0,shared
9,14.491351829734345,14.281940995489052,false,1.0,16.34121927023671,0.3,2.0,0.5,1.0,-30.0,30.0,shared
10,18.093957355217707,17.910383464898313,true,1.0,17.883765904443386,0.3,2.0,0.5,1.0,-30.0,30.0,shared
11,19.934031555098144,19.14277842287481,true,1.0,19.973224514652248,0.3,2.0,0.5,1.0,-30.0,30.0,shared
12,15.148611128013416,20.241006230959506,false,1.0,18.52251632775008,0.3,2.0,0.5,1.0,-30.0,30.0,shared
13,20.78788961237438,19.080436712283372,false,1.0,19.09611678410175,0.3,2.0,0.5,1.0,-30.0,30.0,shared
14,20.90952865684173,16.58609685923828,false,1.0,20.001712823909937,0.3,2.0,0.5,1.0,-30.0,30.0,shared
15,17.159938487460323,17.448301161967297,true,1.0,16.980846576534297,0.3,2.0,0.5,1.0,-30.0,30.0,shared
